elapsed;label;responseCode;responseMessage;success;bytes;URL
4;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
4;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=false
7;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
3;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=false
7;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
13;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
6;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=true
6;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=false
9;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
8;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=true
14;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
6;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=true
17;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
32;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
9;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
14;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
10;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=false
15;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=false
26;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
26;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=true
32;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=false
9;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=true
13;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
17;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
5;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=true
15;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
45;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
21;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=false
40;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
16;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=false
23;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
26;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
32;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=false
33;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=true
32;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
41;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
57;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=true
42;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
54;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=true
47;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
15;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=false
